Book Name,Author,Rating,Customers_Rated,Price
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6 out of 5 stars,"13,110",₹ 295.00
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"21,182",₹ 399.00
Karma: A Yogi's Guide to Crafting Your Destiny Special Offer Alert! Limited Edition! Readers who Pre-order Karma will…,Sadhguru,-1,0,₹ 235.00
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"7,921",₹ 595.00
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for…",Sudha Murty,4.6 out of 5 stars,"4,799",₹ 191.00
The Psychology of Money,Morgan Housel,4.6 out of 5 stars,"8,239",₹ 348.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,"5,500",₹ 299.00
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.4 out of 5 stars,"4,721",₹ 129.00
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"50,991",₹ 189.00
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and…",Wonder House Books,4.4 out of 5 stars,"2,383",₹ 189.00
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars,"10,968",₹ 465.00
Very First Sight Words Sentences Level - 1,Dreamland Publications,4.5 out of 5 stars,"2,892",₹ 108.00
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"29,888",₹ 119.00
One Arranged Murder,Chetan Bhagat,4.3 out of 5 stars,"8,187",₹ 145.00
26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,Mrunal Patel,4.5 out of 5 stars,"1,535",₹ 323.00
General Knowledge,Dr. Binay Karna,4.4 out of 5 stars,"10,504",₹ 160.00
Mathematics for Class 11 (set of 2 volumes) Examination 2021-22: Vol. 2,R.D. Sharma,4.6 out of 5 stars,723,₹ 550.00
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.5 out of 5 stars,"22,335",₹ 448.00
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,4.7 out of 5 stars,"1,253",₹ 562.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,"39,206",₹ 444.00
Mathematics for Class 10 by R D Sharma (Examination 2021-22),R.D. Sharma,4.6 out of 5 stars,"1,295",₹ 499.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.5 out of 5 stars,"8,346",₹ 150.00
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"17,742",₹ 646.00
Refreshing Mandala - Colouring Book for Adults Book 1,Dreamland Publications,4.6 out of 5 stars,"3,236",₹ 150.00
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,"7,043",₹ 158.00
The Blue Umbrella,Ruskin Bond,4.5 out of 5 stars,"4,511",₹ 81.00
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,"26,010",₹ 280.00
Picture Books Collection for Early Learning (Set of 12),E C Axus,4.2 out of 5 stars,"5,507",₹ 229.00
101 Brain Booster Activity Book: Fun Activity Book For Children,Wonder House Books,4.4 out of 5 stars,928,₹ 129.00
101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,4.4 out of 5 stars,896,₹ 135.00
Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,"4,968",₹ 225.00
Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,"3,926",₹ 131.00
"My First 1000 Words: Early Learning Picture Book to Learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and…",Wonder House Books,4.5 out of 5 stars,"1,872",₹ 199.00
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,4.7 out of 5 stars,"12,408",₹ 295.00
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.7 out of 5 stars,"31,665",₹ 398.00
"Brain Games for Clever Kids: Puzzles to Exercise Your Mind (Buster Brain Games, 1)",Gareth Moore,4.3 out of 5 stars,"4,368",₹ 199.00
The Richest Man in Babylon,George S. Clason,4.4 out of 5 stars,"16,924",₹ 99.00
Concept of Physics Part-1 (2019-2020 Session) by H.C Verma,H.C. Verma,4.6 out of 5 stars,"4,990",₹ 347.00
The Monk Who Sold His Ferrari,Robin Sharma,4.5 out of 5 stars,"12,753",₹ 153.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"19,577",₹ 140.00
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Dale Carnegie,4.4 out of 5 stars,"10,265",₹ 106.00
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book…",Alex Michaelides,4.5 out of 5 stars,"65,907",₹ 265.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.5 out of 5 stars,"29,466",₹ 233.00
1001 Activities Book,Dreamland Publications,4.5 out of 5 stars,"3,836",₹ 240.00
My Activity- ABC Colouring Book,Dreamland Publications,4.4 out of 5 stars,"1,355",₹ 60.00
NCERT Textbooks in English for class 12 - Flamingo and Vistas - 12074 &12075,ncert,4.5 out of 5 stars,282,₹ 150.00
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,4.5 out of 5 stars,506,₹ 499.00
Concept of Physics Part-2 (2019-2020 Session) by H.C Verma,H.C. Verma,4.6 out of 5 stars,"4,049",₹ 375.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"19,577",₹ 155.00
Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories,Young Angels Publishing,4.4 out of 5 stars,368,₹ 225.00
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.5 out of 5 stars,"5,589",₹ 244.00
Computer Science with Python Textbook and Practical Book for Class 12 - Examination 2021-22,Sumita Arora,4.5 out of 5 stars,588,₹ 595.00
Think and Grow Rich,Napoleon Hill,4.5 out of 5 stars,"45,650",₹ 139.00
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.4 out of 5 stars,"11,299",₹ 239.00
A Modern Approach to Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4 out of 5 stars,"4,735",₹ 550.00
Grandparents' Bag of Stories,Sudha Murty,4.7 out of 5 stars,411,₹ 140.00
Mathematics for Class 9 by R D Sharma (Examination 2021-22),R.D. Sharma,4.6 out of 5 stars,871,₹ 410.00
Concept of Physics Part-2 (2019-2020 Session) by H.C Verma,H.C. Verma,4.6 out of 5 stars,"4,049",₹ 375.00
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,4.5 out of 5 stars,506,₹ 499.00
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.6 out of 5 stars,647,₹ 159.00
Death; An Inside Story: A book for all those who shall die,Sadhguru,4.7 out of 5 stars,"4,382",₹ 195.00
A Brief History of Modern India (2019-2020 Edition) by Spectrum Books,Spectrum Books Pvt.Ltd.,4.5 out of 5 stars,"5,408",₹ 399.00
Essentials of Medical Pharmacology,K. D. Tripathi,4.6 out of 5 stars,"1,437","₹ 1,376.00"
Indian Art and Culture for Civil Services and other Competitive Examinations,Nitin Singhania,4.6 out of 5 stars,"2,313",₹ 507.00
505 Activities for Kids,Dreamland Publications,4.4 out of 5 stars,"2,879",₹ 165.00
A Man Called Ove: The life-affirming bestseller that will brighten your day,Fredrik Backman,4.6 out of 5 stars,"25,416",₹ 255.00
The Diary of a Young Girl,Anne Frank,4.6 out of 5 stars,"2,563",₹ 99.00
Wuthering Heights,Emily Brontë,4.4 out of 5 stars,"12,476",₹ 99.00
Bhagavad Gita: Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.7 out of 5 stars,"5,810",₹ 198.00
NCERT Textbooks in English for class 12 - Flamingo and Vistas - 12074 &12075,ncert,4.5 out of 5 stars,282,₹ 150.00
Very First Sight Words Sentences Level - 2,Dreamland Publications,4.6 out of 5 stars,"1,090",₹ 120.00
As a Man Thinketh,James Allen,4.5 out of 5 stars,"2,013",₹ 59.00
101 Panchatantra Stories,Dreamland Publications,4.3 out of 5 stars,"3,815",₹ 110.00
"Indian Economy for Civil Services, Universities and Other Examinations | 12th Revised Edition",Ramesh Singh,4.3 out of 5 stars,"1,377",₹ 498.00
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.5 out of 5 stars,"45,895",₹ 305.00
New Simplified Physics : A Reference Book for Class 12 Examination 2020-2021 (Set of 2 Volumes),S.L. Arora,4.3 out of 5 stars,"1,362","₹ 1,050.00"
Ruskin Bond - Best Selling Children Story Books Collection (Set of 4 Books),Ruskin Bond,4.5 out of 5 stars,889,₹ 402.00
My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.6 out of 5 stars,"4,007",₹ 799.00
How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"42,679",₹ 139.00
Who Will Cry When You Die?,Robin Sharma,4.5 out of 5 stars,"8,132",₹ 138.00
My First ABC Sticker Book: Exciting Sticker Book With 100 Stickers,Wonder House Books,4.4 out of 5 stars,350,₹ 139.00
Mandala: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,4.5 out of 5 stars,992,₹ 129.00
Wren & Martin High School English Grammar and Composition Book (Regular Edition),Rao N,4.4 out of 5 stars,"3,998",₹ 335.00
Unfinished: A Memoir,Priyanka Chopra Jonas,4.4 out of 5 stars,"2,038",₹ 429.00
CBSE All In One Social Science Class 10 for 2021 Exam,Farah Sultan Madhumita Pattrea,4.4 out of 5 stars,921,₹ 445.00
Concept of Physics - Part 1 & 2 2019 - 2020 Session (Set of 2 books),0,4.7 out of 5 stars,"1,029",₹ 700.00
"Children's Encyclopedia - Scientists, Inventions And Discoveries: The World of Knowledge",MANASVI VOHRA,4.3 out of 5 stars,"1,438",₹ 155.00
To Kill A Mockingbird: 50th Anniversary Edition: 60th Anniversary Edition,Harper Lee,4.5 out of 5 stars,"37,582",₹ 207.00
Reasoning Book With Piyush Varshney (Hindi Medium),PIYUSH VARSHNEY,4.7 out of 5 stars,131,₹ 450.00
Objective General English,S.P. Bakshi,4.3 out of 5 stars,"6,702",₹ 195.00
Introductory Macroeconomics for Class 12 (Examination 2020-2021),Sandeep Grag,4.6 out of 5 stars,409,₹ 355.00
The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,4.6 out of 5 stars,"5,209",₹ 155.00
How to Prepare for Quantitative Aptitude for the CAT,Arun Sharma,4.5 out of 5 stars,"2,564",₹ 595.00
My Activity- Phonics Activity Book,Dreamland Publications,4.5 out of 5 stars,975,₹ 60.00
The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"29,888",₹ 90.00
CBSE All In One English Core Class 12 for 2021 Exam,Gajendra Singh,4.5 out of 5 stars,725,₹ 401.00
T.S. Grewal's Double Entry Book Keeping: Accounting for Not-for-Profit Organizations and Partnership Firms -( Vol. 1…,CA. Dr. G.S. Grewal & R.K. Khosla,4.5 out of 5 stars,72,₹ 451.00
Colour with Crayons Part - 1,Dreamland Publications,4.2 out of 5 stars,"2,212",₹ 56.00
Comprehensive Ophthalmology (A Free Companion: Review Of Ophthalmology ): with Supplementary Book - Review of…,AK Khurana,4.5 out of 5 stars,502,"₹ 1,139.00"
Inner Engineering: A Yogi’s Guide to Joy,Sadhguru,4.6 out of 5 stars,"9,023",₹ 192.00
